University,Country,URL
Adekunle Ajasin University,Nigeria,"=HYPERLINK(""https://aaua.edu.ng/"", ""https://aaua.edu.ng/"")"
Adeleke University,Nigeria,"=HYPERLINK(""http://adelekeuniversity.edu.ng/"", ""http://adelekeuniversity.edu.ng/"")"
Adeyemi College of Education,Nigeria,"=HYPERLINK(""http://www.aceondo-ng.com/"", ""http://www.aceondo-ng.com/"")"
Adiban Higher Education Institue,Iran,"=HYPERLINK(""http://www.adiban.ac.ir/"", ""http://www.adiban.ac.ir/"")"
Adigrat University,Ethiopia,"=HYPERLINK(""http://www.adu.edu.et/"", ""http://www.adu.edu.et/"")"
Adnan Menderes University,Turkey,"=HYPERLINK(""https://www.adu.edu.tr/"", ""https://www.adu.edu.tr/"")"
Advance Tertiary College,Malaysia,"=HYPERLINK(""http://www.atc2u.com/"", ""http://www.atc2u.com/"")"
Adventist University of Africa,Kenya,"=HYPERLINK(""http://www.aua.ac.ke/"", ""http://www.aua.ac.ke/"")"
Adventist University of Central Africa,Rwanda,"=HYPERLINK(""http://www.auca.ac.rw/"", ""http://www.auca.ac.rw/"")"
Adventist University of the Philippines,Philippines,"=HYPERLINK(""http://web1.aup.edu.ph"", ""http://web1.aup.edu.ph"")"
Adygeja State University,Russia,"=HYPERLINK(""http://www.adygnet.ru/"", ""http://www.adygnet.ru/"")"
Aegean University,Greece,"=HYPERLINK(""http://www.aegean.gr/"", ""http://www.aegean.gr/"")"
Afe Babalola University,Nigeria,"=HYPERLINK(""http://www.abuad.edu.ng/"", ""http://www.abuad.edu.ng/"")"
Afeka Tel Aviv Academic College of Engineering,Israel,"=HYPERLINK(""https://www.afeka.ac.il/"", ""https://www.afeka.ac.il/"")"
Afghan University,Afghanistan,"=HYPERLINK(""http://www.afghanuniversity.edu.af/"", ""http://www.afghanuniversity.edu.af/"")"
Africa International University,Kenya,"=HYPERLINK(""http://www.aiu.ac.ke/"", ""http://www.aiu.ac.ke/"")"
African Aviation & Aerospace University,Nigeria,"=HYPERLINK(""https://aaau.edu.ng/"", ""https://aaau.edu.ng/"")"
Africa Nazarene University,Kenya,"=HYPERLINK(""http://www.anu.ac.ke/"", ""http://www.anu.ac.ke/"")"
African Bible College University,Malawi,"=HYPERLINK(""http://africanbiblecolleges.com/malawi/"", ""http://africanbiblecolleges.com/malawi/"")"
African University of Science and Technology,Nigeria,"=HYPERLINK(""https://aust.edu.ng/"", ""https://aust.edu.ng/"")"
African Virtual University,Tanzania,"=HYPERLINK(""http://www.avu.org/"", ""http://www.avu.org/"")"
Africa University,Zimbabwe,"=HYPERLINK(""http://www.africau.edu/"", ""http://www.africau.edu/"")"
Afriford University,Benin,"=HYPERLINK(""http://www.afriford.com/"", ""http://www.afriford.com/"")"
Afyon Kocatepe University,Turkey,"=HYPERLINK(""http://aku.edu.tr/"", ""http://aku.edu.tr/"")"
Aga Khan University,Pakistan,"=HYPERLINK(""https://www.aku.edu/"", ""https://www.aku.edu/"")"
Aga Khan University,Tanzania,"=HYPERLINK(""https://www.aku.edu/"", ""https://www.aku.edu/"")"
Aga Khan University,Kenya,"=HYPERLINK(""http://www.aku.edu/"", ""http://www.aku.edu/"")"
Aga Khan University,Uganda,"=HYPERLINK(""https://www.aku.edu/"", ""https://www.aku.edu/"")"
Aga Khan University,United Kingdom,"=HYPERLINK(""http://www.aku.edu/"", ""http://www.aku.edu/"")"
Agder University College,Norway,"=HYPERLINK(""http://www.hia.no/"", ""http://www.hia.no/"")"
AGH University of Science and Technology,Poland,"=HYPERLINK(""http://www.agh.edu.pl/"", ""http://www.agh.edu.pl/"")"
Agricultural-Technical Academy in Olsztyn,Poland,"=HYPERLINK(""http://www.art.olsztyn.pl/"", ""http://www.art.olsztyn.pl/"")"
Agricultural University of Athens,Greece,"=HYPERLINK(""http://www.aua.gr/"", ""http://www.aua.gr/"")"
Agricultural University of Cracow,Poland,"=HYPERLINK(""http://www.ar.krakow.pl/"", ""http://www.ar.krakow.pl/"")"
Agricultural University of Georgia,Georgia,"=HYPERLINK(""http://www.agruni.edu.ge/"", ""http://www.agruni.edu.ge/"")"
Agricultural University of Lublin,Poland,"=HYPERLINK(""http://www.ar.lublin.pl/"", ""http://www.ar.lublin.pl/"")"
Agricultural University of Norway,Norway,"=HYPERLINK(""http://www.nlh.no/"", ""http://www.nlh.no/"")"
Agricultural University of Plovdiv,Bulgaria,"=HYPERLINK(""https://www.au-plovdiv.bg/"", ""https://www.au-plovdiv.bg/"")"
Agricultural University of Poznan,Poland,"=HYPERLINK(""http://www.au.poznan.pl/"", ""http://www.au.poznan.pl/"")"
Agricultural University of Szczecin,Poland,"=HYPERLINK(""http://www.ar.szczecin.pl/"", ""http://www.ar.szczecin.pl/"")"
Agricultural University of Tirane,Albania,"=HYPERLINK(""http://www.ubt.edu.al/"", ""http://www.ubt.edu.al/"")"
Agricultural University of Warsaw,Poland,"=HYPERLINK(""http://www.sggw.waw.pl/"", ""http://www.sggw.waw.pl/"")"
Agricultural University of Wroclaw,Poland,"=HYPERLINK(""http://www.ar.wroc.pl/"", ""http://www.ar.wroc.pl/"")"
Agriculture and Forestry University,Nepal,"=HYPERLINK(""https://www.afu.edu.np/"", ""https://www.afu.edu.np/"")"
AgroParisTech,France,"=HYPERLINK(""http://www.agroparistech.fr/"", ""http://www.agroparistech.fr/"")"
Ahfad University for Women,Sudan,"=HYPERLINK(""http://www.ahfad.edu.sd/"", ""http://www.ahfad.edu.sd/"")"
Ahi Evran University,Turkey,"=HYPERLINK(""https://www.ahievran.edu.tr/"", ""https://www.ahievran.edu.tr/"")"
Ahlulbait International University,Iraq,"=HYPERLINK(""http://www.ahlulbaitonline.com/"", ""http://www.ahlulbaitonline.com/"")"
Ahmadu Bello University,Nigeria,"=HYPERLINK(""https://www.abu.edu.ng/"", ""https://www.abu.edu.ng/"")"
Ahmedabad University,India,"=HYPERLINK(""https://ahduni.edu.in/"", ""https://ahduni.edu.in/"")"
Ahram Canadian University,Egypt,"=HYPERLINK(""http://www.acu.edu.eg/"", ""http://www.acu.edu.eg/"")"
Ahsanullah University of Science & Technology,Bangladesh,"=HYPERLINK(""http://www.aust.edu/"", ""http://www.aust.edu/"")"
Ahvaz University of Medical Sciences,Iran,"=HYPERLINK(""http://www.aums.ac.ir/"", ""http://www.aums.ac.ir/"")"
Ahwaz Jondishapour University of Medical Sciences,Iran,"=HYPERLINK(""http://www.ajums.ac.ir/"", ""http://www.ajums.ac.ir/"")"
Aichi Bunkyo University,Japan,"=HYPERLINK(""http://www.abu.ac.jp/"", ""http://www.abu.ac.jp/"")"
Aichi Gakuin University,Japan,"=HYPERLINK(""http://www.aichi-gakuin.ac.jp/"", ""http://www.aichi-gakuin.ac.jp/"")"
Aichi Gakusen University,Japan,"=HYPERLINK(""http://www.gakusen.ac.jp/"", ""http://www.gakusen.ac.jp/"")"
Aichi Institute of Technology,Japan,"=HYPERLINK(""http://www.aitech.ac.jp/"", ""http://www.aitech.ac.jp/"")"
Aichi Medical University,Japan,"=HYPERLINK(""http://www.aichi-med-u.ac.jp/"", ""http://www.aichi-med-u.ac.jp/"")"
Aichi Prefectural University,Japan,"=HYPERLINK(""http://www.aichi-pu.ac.jp/"", ""http://www.aichi-pu.ac.jp/"")"
Aichi Prefectural University of Fine Arts & Music,Japan,"=HYPERLINK(""http://www.aichi-fam-u.ac.jp/"", ""http://www.aichi-fam-u.ac.jp/"")"
Aichi Sangyo University,Japan,"=HYPERLINK(""http://www.asu.ac.jp/"", ""http://www.asu.ac.jp/"")"
Aichi Shukutoku University,Japan,"=HYPERLINK(""http://www.aasa.ac.jp/"", ""http://www.aasa.ac.jp/"")"
Aichi University,Japan,"=HYPERLINK(""http://www.aichi-u.ac.jp/"", ""http://www.aichi-u.ac.jp/"")"
Aichi University of Education,Japan,"=HYPERLINK(""http://www.aichi-edu.ac.jp/"", ""http://www.aichi-edu.ac.jp/"")"
Aikoku Gakuen University,Japan,"=HYPERLINK(""http://www.aikoku-u.ac.jp/"", ""http://www.aikoku-u.ac.jp/"")"
Aimst University,Malaysia,"=HYPERLINK(""http://www.aimst.edu.my/"", ""http://www.aimst.edu.my/"")"
Ain Shams University,Egypt,"=HYPERLINK(""http://www.asu.edu.eg/"", ""http://www.asu.edu.eg/"")"
Air University,Pakistan,"=HYPERLINK(""http://www.au.edu.pk/"", ""http://www.au.edu.pk/"")"
AISECT University,India,"=HYPERLINK(""http://www.aisectuniversity.ac.in/"", ""http://www.aisectuniversity.ac.in/"")"
AISTEDA,Romania,"=HYPERLINK(""http://www.aistedaab.ro/"", ""http://www.aistedaab.ro/"")"
Aix-Marseille Université,France,"=HYPERLINK(""https://www.univ-amu.fr/"", ""https://www.univ-amu.fr/"")"
Ajayi Crowther University,Nigeria,"=HYPERLINK(""http://www.acu.edu.ng/"", ""http://www.acu.edu.ng/"")"
Ajman University of Science & Technology,United Arab Emirates,"=HYPERLINK(""https://www.ajman.ac.ae/"", ""https://www.ajman.ac.ae/"")"
Ajou University,"Korea, South","=HYPERLINK(""http://www.ajou.ac.kr/"", ""http://www.ajou.ac.kr/"")"
Akademia Podlaska,Poland,"=HYPERLINK(""http://www.ap.siedlce.pl/"", ""http://www.ap.siedlce.pl/"")"
Akademie der bildenden Künste Wien,Austria,"=HYPERLINK(""https://www.akbild.ac.at/"", ""https://www.akbild.ac.at/"")"
AKAD Fernstudium,Germany,"=HYPERLINK(""https://www.akad.de"", ""https://www.akad.de"")"
Akaki Tsereteli State University,Georgia,"=HYPERLINK(""http://www.atsu.edu.ge/"", ""http://www.atsu.edu.ge/"")"
"Akanu Ibiam Federal Polytechnic, Unwana",Nigeria,"=HYPERLINK(""http://akanuibiampoly.edu.ng/"", ""http://akanuibiampoly.edu.ng/"")"
Akdeniz University,Turkey,"=HYPERLINK(""http://www.akdeniz.edu.tr/"", ""http://www.akdeniz.edu.tr/"")"
Akhbar El Yom Academy,Egypt,"=HYPERLINK(""http://www.akhbaracademy.edu.eg/"", ""http://www.akhbaracademy.edu.eg/"")"
Akita International University,Japan,"=HYPERLINK(""https://web.aiu.ac.jp/"", ""https://web.aiu.ac.jp/"")"
Akita University,Japan,"=HYPERLINK(""http://www.akita-u.ac.jp/"", ""http://www.akita-u.ac.jp/"")"
Akita University of Economics and Law,Japan,"=HYPERLINK(""http://www.akeihou-u.ac.jp/"", ""http://www.akeihou-u.ac.jp/"")"
Aklan Catholic College,Philippines,"=HYPERLINK(""https://acc.edu.ph/"", ""https://acc.edu.ph/"")"
"Akrofi-Christaller Institute of Theeology, Mission and  Culture",Ghana,"=HYPERLINK(""http://www.acighana.org/"", ""http://www.acighana.org/"")"
Aksum University,Ethiopia,"=HYPERLINK(""http://www.aku.edu.et/"", ""http://www.aku.edu.et/"")"
Aktau State University,Kazakhstan,"=HYPERLINK(""http://www.aktsu.kz/"", ""http://www.aktsu.kz/"")"
Aku University,India,"=HYPERLINK(""https://www.aku.ac.in"", ""https://www.aku.ac.in"")"
Akwa Ibom State University (AKSU),Nigeria,"=HYPERLINK(""https://www.aksu.edu.ng"", ""https://www.aksu.edu.ng"")"
Alagappa University,India,"=HYPERLINK(""http://www.alagappauniversity.ac.in/"", ""http://www.alagappauniversity.ac.in/"")"
Alahgaff University,Yemen,"=HYPERLINK(""http://www.ahgaff.edu/"", ""http://www.ahgaff.edu/"")"
Al Ahlia University,Bahrain,"=HYPERLINK(""http://www.ahliauniversity.org/"", ""http://www.ahliauniversity.org/"")"
Al-Ahliyya Amman University,Jordan,"=HYPERLINK(""http://www.ammanu.edu.jo/"", ""http://www.ammanu.edu.jo/"")"
Alain University of Science and Technology,United Arab Emirates,"=HYPERLINK(""https://aau.ac.ae/"", ""https://aau.ac.ae/"")"
Al Akhawayn University,Morocco,"=HYPERLINK(""http://www.aui.ma/"", ""http://www.aui.ma/"")"
Al al-Bayt University,Jordan,"=HYPERLINK(""https://www.aabu.edu.jo/"", ""https://www.aabu.edu.jo/"")"
Alanya University,Turkey,"=HYPERLINK(""http://www.alanyauniversity.edu.tr/"", ""http://www.alanyauniversity.edu.tr/"")"
Al-Aqsa University,Palestine,"=HYPERLINK(""http://www.alaqsa.edu.ps/"", ""http://www.alaqsa.edu.ps/"")"
Al-Asmarya University for Islamic Studies,Libya,"=HYPERLINK(""http://www.asmarya.edu.ly/"", ""http://www.asmarya.edu.ly/"")"
Al Azhar University,Egypt,"=HYPERLINK(""http://www.azhar.edu.eg/"", ""http://www.azhar.edu.eg/"")"
Al-Azhar University of Gaza,Palestine,"=HYPERLINK(""http://www.alazhar.edu.ps/"", ""http://www.alazhar.edu.ps/"")"
Al-Baath University,Syria,"=HYPERLINK(""http://albaath-univ.edu.sy/"", ""http://albaath-univ.edu.sy/"")"
Al-Baha University,Saudi Arabia,"=HYPERLINK(""https://bu.edu.sa/"", ""https://bu.edu.sa/"")"
Al-Balqa Applied University,Jordan,"=HYPERLINK(""http://www.bau.edu.jo/"", ""http://www.bau.edu.jo/"")"
Al Beroni University,Afghanistan,"=HYPERLINK(""https://www.au.edu.af"", ""https://www.au.edu.af"")"
Albert-Ludwigs-Universität Freiburg,Germany,"=HYPERLINK(""http://www.uni-freiburg.de/"", ""http://www.uni-freiburg.de/"")"
Al-Bukhari International University,Malaysia,"=HYPERLINK(""http://www.aiu.edu.my/"", ""http://www.aiu.edu.my/"")"
Al-Buraimi University College,Oman,"=HYPERLINK(""http://buc.edu.om/"", ""http://buc.edu.om/"")"
Aleksander Gieysztor School of Humanities in Pultusk,Poland,"=HYPERLINK(""http://www.wsh.edu.pl/"", ""http://www.wsh.edu.pl/"")"
Aleksander Zelwerowicz State Theatre Academy,Poland,"=HYPERLINK(""http://www.at.edu.pl/"", ""http://www.at.edu.pl/"")"
Aleksandras Stulginskis university,Lithuania,"=HYPERLINK(""https://asu.lt/"", ""https://asu.lt/"")"
Aletheia University,Taiwan,"=HYPERLINK(""https://www.au.edu.tw"", ""https://www.au.edu.tw"")"
Alexandria University,Egypt,"=HYPERLINK(""https://www.alexu.edu.eg/"", ""https://www.alexu.edu.eg/"")"
Alfaisal University,Saudi Arabia,"=HYPERLINK(""http://www.alfaisal.edu/"", ""http://www.alfaisal.edu/"")"
Alfalah University,Afghanistan,"=HYPERLINK(""https://alfalah.edu.af"", ""https://alfalah.edu.af"")"
Al Falah University,United Arab Emirates,"=HYPERLINK(""https://afu.ac.ae/"", ""https://afu.ac.ae/"")"
Al-Farabi Kazakh National University,Kazakhstan,"=HYPERLINK(""http://www.kaznu.kz/"", ""http://www.kaznu.kz/"")"
Al Fashir University,Sudan,"=HYPERLINK(""http://www.fashir.edu.sd/"", ""http://www.fashir.edu.sd/"")"
Alfred Nobel University of Economics and Law,Ukraine,"=HYPERLINK(""http://duan.edu.ua/"", ""http://duan.edu.ua/"")"
Al Ghurair University,United Arab Emirates,"=HYPERLINK(""https://www.agu.ae/"", ""https://www.agu.ae/"")"
Algonquin College,Canada,"=HYPERLINK(""http://www.algonquincollege.com/"", ""http://www.algonquincollege.com/"")"
Alhamd Islamic University,Pakistan,"=HYPERLINK(""http://www.aiu.edu.pk/"", ""http://www.aiu.edu.pk/"")"
Al-Hikmah University,Nigeria,"=HYPERLINK(""http://alhikmah.edu.ng/"", ""http://alhikmah.edu.ng/"")"
Alhosn University,United Arab Emirates,"=HYPERLINK(""http://www.alhosnu.ae/"", ""http://www.alhosnu.ae/"")"
Al Hussein Bin Talal University,Jordan,"=HYPERLINK(""http://www.ahu.edu.jo/"", ""http://www.ahu.edu.jo/"")"
Aliah University,India,"=HYPERLINK(""https://www.aliah.ac.in/"", ""https://www.aliah.ac.in/"")"
Alice Salomon Hochschule Berlin,Germany,"=HYPERLINK(""https://www.ash-berlin.eu"", ""https://www.ash-berlin.eu"")"
Aligarh Muslim University,India,"=HYPERLINK(""http://www.amu.ac.in/"", ""http://www.amu.ac.in/"")"
Al Imam Al-Ouzai University,Lebanon,"=HYPERLINK(""https://www.ouzai.org/"", ""https://www.ouzai.org/"")"
Al-Imam Mohamed Ibn Saud Islamic University,Saudi Arabia,"=HYPERLINK(""https://imamu.edu.sa/"", ""https://imamu.edu.sa/"")"
Al Iraqia University,Iraq,"=HYPERLINK(""http://www.aliraqia.edu.iq/"", ""http://www.aliraqia.edu.iq/"")"
Al-Islah University,Lebanon,"=HYPERLINK(""http://www.islahonline.org/"", ""http://www.islahonline.org/"")"
Al-Isra University,Jordan,"=HYPERLINK(""http://www.iu.edu.jo/"", ""http://www.iu.edu.jo/"")"
Al-Jabal Al-Gharbi University,Libya,"=HYPERLINK(""http://www.jgu.edu.ly/"", ""http://www.jgu.edu.ly/"")"
Al Janad University for Science and Technology,Yemen,"=HYPERLINK(""https://just.edu.ye/"", ""https://just.edu.ye/"")"
Aljazeera  University,Yemen,"=HYPERLINK(""https://aljazeeraibb.edu.ye/"", ""https://aljazeeraibb.edu.ye/"")"
Aljouf University,Saudi Arabia,"=HYPERLINK(""https://www.ju.edu.sa/"", ""https://www.ju.edu.sa/"")"
Alkafeel University College,Iraq,"=HYPERLINK(""http://uch.edu.iq/"", ""http://uch.edu.iq/"")"
Al-Khair University,Pakistan,"=HYPERLINK(""http://alkhair.edu.pk/"", ""http://alkhair.edu.pk/"")"
Al Khawarizmi International College,United Arab Emirates,"=HYPERLINK(""https://kic.ac.ae/"", ""https://kic.ac.ae/"")"
"Allahabad Agricultural Institute, Deemed University",India,"=HYPERLINK(""http://www.aaidu.org/"", ""http://www.aaidu.org/"")"
Allahabad University,India,"=HYPERLINK(""http://www.alldunivpio.org/"", ""http://www.alldunivpio.org/"")"
Allama Iqbal Open University,Pakistan,"=HYPERLINK(""http://www.aiou.edu.pk/"", ""http://www.aiou.edu.pk/"")"
Allameh Tabatabaie University,Iran,"=HYPERLINK(""http://www.atu.ac.ir/"", ""http://www.atu.ac.ir/"")"
Alliance University,India,"=HYPERLINK(""https://www.alliance.edu.in/"", ""https://www.alliance.edu.in/"")"
Allianze College of Medical Sciences (ACMS),Malaysia,"=HYPERLINK(""http://www.acms.edu.my/"", ""http://www.acms.edu.my/"")"
All India Institute of Medical Sciences,India,"=HYPERLINK(""http://www.aiims.ac.in/"", ""http://www.aiims.ac.in/"")"
All Nations University College,Ghana,"=HYPERLINK(""http://anuc.edu.gh/"", ""http://anuc.edu.gh/"")"
All Saints University College of Medicine,Saint Vincent and the Grenadines,"=HYPERLINK(""https://allsaintsu.org/"", ""https://allsaintsu.org/"")"
All Saints University College of Medicine St Vincent,Canada,"=HYPERLINK(""https://allsaintsu.org/"", ""https://allsaintsu.org/"")"
All Saints University School of Medicine,Dominica,"=HYPERLINK(""http://www.allsaintsuniversity.org/"", ""http://www.allsaintsuniversity.org/"")"
Al Maarif University College,Iraq,"=HYPERLINK(""http://www.auc-edu.org/"", ""http://www.auc-edu.org/"")"
Al Madinah International University,Malaysia,"=HYPERLINK(""http://www.mediu.edu.my/"", ""http://www.mediu.edu.my/"")"
Al-Manar University,Lebanon,"=HYPERLINK(""http://www.mut.edu.lb/"", ""http://www.mut.edu.lb/"")"
Al Mansour University College,Iraq,"=HYPERLINK(""http://www.muc.edu.iq/"", ""http://www.muc.edu.iq/"")"
Almaty Management University,Kazakhstan,"=HYPERLINK(""https://www.almau.edu.kz/"", ""https://www.almau.edu.kz/"")"
Almughtaribeen University,Sudan,"=HYPERLINK(""https://www.mu.edu.sd/"", ""https://www.mu.edu.sd/"")"
Almustafa Open University,Iran,"=HYPERLINK(""http://www.almustafaou.ir/"", ""http://www.almustafaou.ir/"")"
Al-Mustaqbal University College,Iraq,"=HYPERLINK(""https://uomus.edu.iq/"", ""https://uomus.edu.iq/"")"
